100,100,100,100,100,100,100,100,100,100,100
80,96.1862882289,110.3581935154,122.4299369145,127.9851015943,129.1765283502,126.7163956323,119.10618153,104.0677664166,92.2359562065,80
60,94.3975943266,122.8269100497,151.3977123963,160.3466556117,162.026336104,158.5949638535,145.6568790457,104.9374544422,84.8816937797,60
40,98.5852966984,135.1757004947,200,200,200,200,200,131.1055900082,100.8707753353,40
20,115.2243939757,154.7210631755,200,200,200,200,200,133.0758138212,85.1552352046,20
0,82.358648201,124.7747324048,200,200,200,200,200,119.2975348758,72.1662283182,0
0,72.0378547902,124.159262471,200,200,200,200,200,145.0705869272,101.4944648435,0
0,82.6116580246,119.7744049143,200,200,200,200,200,118.1564035053,69.8495400268,0
0,38.2645741522,63.1204475167,109.3746959569,124.0601219389,127.8296049174,125.5054424202,114.1243428437,77.989248613,41.9430164919,0
0,17.7667658703,32.8002131561,50.3024843097,59.0282842419,61.731473637,60.0596898735,52.9794797018,37.7266170732,19.9182308996,0
0,0,0,0,0,0,0,0,0,0,0
